title,date,body
Grech: ‘The thieves are turning against each other’,"May 18, 2023 8:54 AM",Tista' taqra bil Malti PN leader Bernard Grech called his supporters on Wednesday as he said that the latest revelations on the fraudulent hospitals deal piloted by former prime minister Joseph Muscat showed that the corrupt are turning against each other Those who thought they were above the law Grech said in reference to Muscat and his former righthand men Keith Schembri and Konrad Mizzi “are hiding and blaming each other” Addressing a protest outside parliament on Wednesday evening Grech said “they are now turning against each other as thieves do” He added that the people “have a mission to give birth to a new Malta a clean Malta where our children can have the future they deserve” Grech recalled that slain journalist Daphne Caruana Galizia had exposed the deceit and corruption in the hospitals deal and said that “we can never stop honouring her” “She gave her life so we can know the truth we know today” Grech told protestors “We must never forget her” He also pointed out that a number of Maltese and foreign journalists are striving to uncover the truth about the “corrupt Labour government” “Journalists civil society Adrian Delia Simon Busuttil – these people have all contributed to ensure Daphne did not die in vain” he said The PN leader also saluted activists and civil society organisations that have for years strived to for justice and kept up the fight against corruption as he singled out Repubblika and Occupy Justice for their invaluable work Grech added that everyone who worked for the truth is either getting killed threatened or ridiculed The protest came after a a damning NAO report found that Mizzi and Muscat conspired to mislead the Cabinet of minister over various aspects of the concession deal which was annulled by court in February 2023 This was followed by revelations that Muscat received payments from a Swiss firm that was previously named VGH Europe and which is suspected of funnelling public funds back to the investors behind the Vitals Global Health Care Group VGH “This shows that we are living in a mafia state where people are killed people are threatened and where people’s money is stolen to be given to criminals” the PN leader said “We are living in surreal times It is now the moment of truth the moment when we tell them that enough is enough” Grech told the crowd People have had enough of  the “corrupt government” Grech said as he urged people of all political hues to remain united to create a better future for the country “and ensure impunity does not reign” While insisting that the PN will not shy away from fighting corruption Grech said “we are not done we still have work to do and we must do this together We cannot continue to let them do as they please”
Archbishop Charles Scicluna denies ever being an Opus Dei member,"May 17, 2023 8:00 PM",The Church in Malta has denied allegations made by a blogger that Archbishop Charles Scicluna is a member of Opus Dei “In a recent blog post Simon Mercieca a professor of history at the University of Malta alleged that Archbishop Charles Scicluna is a member of Opus Dei” the Curia said in a statement on Wednesday “This is totally untrue Contrary to the misleading statement made by Prof Mercieca the Archbishop is not and never has been a member of Opus Dei” the statement added
"‘No one believes you’ on hospitals fiasco, Grech tells Labour MPs","May 17, 2023 7:43 PM",Nationalist Party leader Bernard Grech insisted on Wednesday that no one believed what the Labour Party in government was saying on the hospitals concession granted to Vitals passed on to Steward and cancelled by the courts not least since the latest revelations saw the key protagonists openly contradict each other Grech and other PN MPs starting with Adrian Delia completely disregarded the agenda of Wednesday’s parliamentary sitting instead focusing solely on hospitals concession following revelations made by the Times and the Shift in collaboration with the Organised Crime and Corruption Reporting Project including that former PM Joseph Muscat received money from a firm that was previously called VGH Europe – an apparent reference to Vitals Global Healthcare A few minutes into Delia’s speech – the televised broadcast does not make clear whether he did so of his own accord or in response to informal complaints from the government benches – deputy speaker and PN MP David Agius reminded Delia that the standing orders governing Parliament had not changed and that these required MPs to ensure that their speeches were on topic Delia was undeterred and continued speaking out of order prompting complaints from MP Edward Zammit Lewis which drew a pointed reply from Agius who recalled that PM Robert Abela similarly ignored parliamentary procedure to react to a damning National Audit Office report on the hospitals deal before the public could properly read it “I acted as the Speaker had done two days ago with respect to the prime minister and everyone who spoke after him whose address was not relevant to the agenda of the day” he said before telling Delia that he may continue his address Grech said that the Maltese “are living in surreal times” having to deal shocking revelations while the key government figures were nowhere to be seen He repeatedly highlighted that only a few government MPs were present in the chamber He said that he was not addressing parliament to explain how the hospitals deal was the “greatest fraud that has ever happened in this country” that Abela has lied and that his government was preventing the country’s institutions from doing their duty All of these he said were “a known fact” Instead he said looking straight at the cameras he wished to tell address those “who long for hope in politics and who have a right to hope” including the Labourites “who believed you” he added turning his face to the government benches “Those who had a dream and hoped that this country would move forward only to see you deliver a nightmare instead” he continued The PN leader also said that the latest revelations continue to show why Abela was the chosen successor of Muscat maintaining that Muscat needed someone to ensure the “continuity” that Abela had promised when he became prime minister “It is no wonder that Muscat needed Robert Abela to be his puppet so that he could continue doing as he pleases” he said But in this context Grech emphasised Abela was no victim not least because he was well aware of what he was getting into Grech recalled – as Delia had done earlier in the day – that in the Labour leadership election that saw him prevail over Chris Fearne Abela had maintained that his role as Muscat’s consultant saw him keep an eye on the goingson of every minister Grech also called out Fearne insisting that the health minister could not escape the responsibilities he had concerning the deal He said that Fearne “knows he was a participant and an enabler he knew what was going on and failed to lift a finger to stop the theft that was taking place” Both Fearne and Abela were well aware that Steward were not doing what they were obliged to he later added but they still continued giving it generous amounts of public funds The discussion – which was ostensibly on a bill which would see offences introduced through the latest cannabis reform handled by commissioners for justice rather than the courts – was wound down by justice minister Jonathan Attard who ended up devoting much of his speech to respond to the PN MPs who spoke out – particularly Grech and Delia In doing so Attard repeatedly indulged in an argument his party is fond of making the claim that the PN is split in two camps one backing Grech and the other Delia “The only surreal thing in here… is the opposition leader whose days are numbered” Attard insisted References to Delia prompted the MP to protest loudly prompting Attard to make a pointed remark at the former opposition leader “I know that Delia believes that this is his moment of glory that he can be reintegrated in the party after his own friends kicked him out but he is mistaken” the minister maintained The remark predictably did not help calm things down leading Agius to briefly suspend the sitting Attard also insisted that the opposition was holding the country hostage before concluding his speech by referring to the bill that parliament should have discussed
Malta registers lowest wage growth in euro area in 2022,"April 21, 2023 8:18 AM",Malta registered the lowest increase in average hourly wages and salaries in the euro area last year according to figures compiled by Eurostat Hourly wages and salaries grew within every member state of the European Union increasing by an average of 44 in the EU and 4 in the euro area But among euro area members Malta was one of three countries – Italy and Finland are the others – where hourly wages increased the least by just 23 Within the EU only Denmark just barely registered a lower growth in average hourly wages and salaries registering a growth of 22 last year At the other end of the scale the biggest increase in hourly wages and salaries was recorded in Hungary 164 followed by Bulgaria 155 and Lithuania 134 Lithuania is the country that registered the fastest growth within the euro area Within the EU hourly wages and salaries grew by 32 in the mainly nonbusiness economy and by 49 in the business economy with a 46 increase in industry 52 in construction and 5 in services
A life in art: Adonai Camilleri Cauchi,"April 21, 2023 7:00 AM",Tista' taqra bil Malti One of artist Adonai Camilleri Cauchi’s earliest memories is of making his first ever statue – a small clay statuette – when he was just twoandahalf years old It was at that time that Adonai had discovered that his own father Michael Camilleri Cauchi was a sculptor by profession Excited by the discovery he begged his dad for some clay so that he could emulate him Adonai still remembers his firstever work – a statuette of St George – in perfect detail even if it has since been lost It was obviously a child’s work he makes clear – the head would come off and a cocktail stick served as the saint’s sword – but it set him on the path of a lifelong passion and career “I kept at it my mind was always on this track” he tells Newsbookcommt “Every time you see where mistakes were made and you struggle against yourself so that you do better next time” His family background also served as an inspiration – “art dominated my life” he notes – since Adonai and his father are far from the only members of their family who took up art as a profession His grandfather is the late Gozitan statuemaker Agostino Camilleri popularly known as Wistin talIstatwi and all of Wistin’s four sons including Michael ended up making a career out of art as have a number of their children including Adonai “My work needs a lot of patience and a lot of time and the more professional you set out to be the more time and attention it requires” he observes And a few more arms would not go amiss he quips demand for his work he says gratefully is strong Adonai’s oeuvre includes countless examples of religious art which can be found in Malta as well as overseas and he frequently works in collaboration with his father on statues “Practically every Gozitan locality” exhibits their works during their village feasts and they are far from alone in doing so As one might expect it is not easy for an artist to describe his favourite work and Adonai is no exception though he has a particular fondness for his wooden statues – not least given the physicality involved in making them “You struggle to create them your arms and back go sore when you work in wood – but they are special because of it” One recent work he is particularly pleased with however is his bust of the Blessed Carlo Acutis an Italian youth and amateur computer programmer who had created a website to catalogue miracles around the world before his death from leukaemia at the age of just 15 in 2006 The bust – which incorporates a relic of Acutis – now takes pride of place at the Church of St Mary of Jesus ta’ Ġieżu in Rabat and Adonai is pleased not just with how it came out but with the public’s response “May all those who pray to him – myself included – receive God’s grace” he maintains The sacred aspect of religious artwork does not escape Adonai who speaks fondly during the interview about one of his father’s works – a crucifix at the Nadur parish church “When I look at it I always feel two emotions” Adonai observes “There’s obviously the artistic aspect it is a very good work But because it is so beautiful it also brings you closer to God”
Gozo SPCA takes in 8 newborn puppies abandoned in Marsalforn,"April 20, 2023 7:35 PM",The Gozo SPCA appealed to dog owners who did not want puppies to neuter their dogs after taking in a litter of 8 newborn puppies who were dumped in a cardboard box in a vacant plot of land in Marsalforn The eight tan and cream puppies were spotted by chance by a married couple who were walking their own dogs in the area The husband retrieved the eight twoday old puppies – some of whom still had their umbilical cords attached – who are now in the care of the Gozo SPCA Gozo SPCA volunteers now have to take care of the newborn puppies round the clock in the absence of their mother they all have to be bottlefed every 34 hours While four puppies appeared to be doing ok the other four are not doing so well the NGO said The SPCA also made an appeal to the owner of the puppies’ mother emphasising that the dog was likely physically and emotionally impacted by the ordeal of giving birth and having her puppies taken away from her at such a young age The unknown owner was encouraged to take his dog to the vet and to have medicine prescribed so that her milk dries up The NGO has a number of animals ready for adoption anyone interested in adopting a pet is invited to contact it on Facebook or via email on infogozospcaorg The newborn puppies naturally are far from ready to be adopted though the Gozo SPCA hopes they can be adopted in the future Though the puppies’ breed or cross breed is not known the healthy ones’ weight suggests that they are set to become quite large around 30kg fully grown The puppies are now safe in the care of the Gozo SPCA but donations by the public are appreciated not least since taking care of newborn puppies – especially when a number of them are not in great health – does not come cheap “The main expenses for now are for puppy formula dried puppy milk and medication for the sickly ones” a Gozo SPCA volunteer told Newsbookcommt Anyone wishing to donate to help the Gozo SPCA care for the newborn puppies may do so through the following methods Bank transfer transfers may be made to HSBC Malta account number 071089122001 The full account details are as follows Bank Account SPCA GOZOSort Code 44071IBAN Code MT43MMEB44716000000071089122001Swift Code MMEBMTMT PayPal TheGozo SPCAcan also accept donations via PayPal on fundraisingspcagozoorg SMS SMS donations can be made through the following numbers
Suspect behind sexual assault of Italian local councillor arrested,"April 20, 2023 6:36 PM",Tista' taqra bil Malti A man has been arrested over the alleged sexual assault of an Italian local councillor who was holidaying in Malta Lara Ali Shahin a teacher and member of the local council of Susegana in Veneto recounted her ordeal to the media She was staying at a Buġibba hotel for a weekend holiday in Malta and was at a nearby pub when she was approached by a man who was roughly her age who made advances that she refused But as she returned to the hotel later in the evening she came across the same man who claimed to be staying in the same hotel and on the same floor He followed her into her room and assaulted her leading her to scream for help These screams alerted staff and a night porter went to the room and stopped the man who fled The man had been captured on security footage and the police appealed to the public to help it locate the suspect This footage appears to have helped solve the case with the police confirming that they were no longer searching for the suspect and thanking the public for their help
Edward Scicluna insists he played no role in Electrogas selection,"April 20, 2023 5:30 PM",Tista' taqra bil Malti Former finance minister Edward Scicluna reiterated that he had nothing to do with the controversial selection of Electrogas for a new gasfired power station at Delimara days after Keith Schembri testified under oath that the current Central Bank of Malta governor necessarily had to be involved in a project of the scale But Scicluna appeared to downplay any suggestions that Schembri lied under oath when he made his statements pointing out that the Finance Ministry had to be involved subsequently when Electrogas was granted a controversial €360 million guarantee for its loans Schembri’s statements to the Public Accounts Committee on Tuesday – which also saw him contradict former deputy commissioner Silvio Valletta stating that he would say “what it suited him to say” – had led the Nationalist Party MPs on the committee to call for the police to investigate The MPs argued that since Schembri had contradicted both Valletta and Schembri’s statements to the public inquiry into the assassination of Daphne Caruana Galizia this meant that either the two men had committed a crime by lying under oath or Schembri himself had done so The police are not pursuing the MPs’ call with any particular urgency it appears with Scicluna confirming that the police had not yet contacted him The minister sought to argue that there was no inherent contradiction between his claims and Schembri’s own even as he washed his hands off the selection process that ultimately favoured the Electrogas consortium Scicluna said that as others had he had been given a presentation on a switch to gas before the election and that as a cabinet minister he had backed the project to switch to gaspowered electricity generation But he emphasised that Enemalta was one of various public entities whose public procurement processes took place independently of the Finance Ministry the selection process Scicluna argued was thus entirely the responsibility of the energy minister at the time Konrad Mizzi “The expression of interest the evaluations the due diligence process were all the energy ministry’s responsibility” he said Scicluna also sought to downplay the description of a “kitchen cabinet” within Joseph Muscat’s government that he had made in his testimony to the inquiry which he formed no part of Back then his assertion appeared to serve as a way for Scicluna to distance himself from the most controversial parts of Muscat’s legacy But the Central Bank governor now said that the term was a “neutral” one which described a state of affairs that was normal to most governments each head of government he said had an inner circle of advisors to help guide their decisionmaking
Palazzina Vincenti gets Grade 2 protection,"April 20, 2023 4:56 PM",Tista' taqra bil Malti Plans to demolish Palazzina Vincenti and replace it with a highrise hotel can no longer go through after the Planning Authority has declared the austere modernist house along the St Julians promenade to be a Grade 2 scheduled building The PA is also scheduling as Grade 2 properties the facades of the two adjacent houses abutting Palazzina Vincenti on both sites scheduling their interior as a Grade 3 structure Palazzina Vincenti dates back to the postwar period and was designed and built by the architect Gustavo Romeo Vincenti to serve as his own personal residence Vincenti lived at the house until his death in 1974 The distinctive house showcases Vincenti’s talent for utilising circular and square geometric shapes in his designs and is a pioneering example of modernist architecture making use of reinforced concrete in a domestic setting in Malta But hotelier Carlo Stivala had planned to flatten the structure to make way for a 14storey hotel – with three additional underground levels – on the plans of architect Robert Musumeci These plans led the Planning Authority to issue an emergency conservation order for a property considered to be heritage at risk effectively granting the property Grade 1 protection until a full assessment determined the level of protection it truly merited Grade 1 protection prohibits interventions “which impair the setting or change the external or internal appearance including anything contained within the curtilage of the building” In the end however the process concluded that Palazzina Vincenti merited the lesser Grade 2 protection which specifies that permission to demolish “will not normally be given” and which allows alterations to the interior “if proposed to be carried out sensitively and causing the least detriment to the character and architectural homogeneity of the building” In any case PA emphasised that the development application “will need to be radically modified to ensure that the palazzina is restored back to its original glory which it so well deserves”
Mediterraneo Marine Park denies flushing out sewage into surrounding streets,"April 20, 2023 4:01 PM",Tista' taqra bil Malti The Mediterraneo Marine Park has denied flushing out sewage into the streets surrounding its premises saying that it had dumped seawater and not sewage This was stated by the park in a reply to Newsbookcommt who received reports about foulsmelling sewage being dumped into the periphery of the park in Baħar iċĊagħaq on Thursday morning The liquid was seen flowing down towards the sea and trailing underneath caravans parked nearby In its reply to Newsbookcommt the marine park denied that they had dumped sewage claiming that they had instead dumped seawater According to the marine park the seawater was emptied from a room which had filled up with water due to a pump that got damaged “The problem has since been resolved Any inconvenience is regretted” the marine park said Members from the newsroom went on site and could observe a pungent sewagelike smell emanating from the area covered in water
NGOs invite public to exhibition against Hili Group’s Comino villas,"April 20, 2023 3:10 PM",Tista' taqra bil Malti A number of eNGOs have invited the public for an informational meeting against Hili Group’s proposed villas and hotel on Comino which have been the subject of much controversy due to their environmental impact on the nature reserve island The meeting will be held in the form of an exhibition on Saturday 22 April at 1030am outside the Mediterranean Conference Centre MCC in Valletta In a statement the organisations explained that over the past few weeks Hili Group has intensified their public relations campaign in an attempt to placate the anger of the public at their project in Comino publishing a number of articles and advertisements on the media which according to the NGOs include deceptive information and pictures This weekend they are organising an exhibition and a presentation at the MCC in order to promote the project that they want to build in Comino The NGOs noted that although they do not have millions of euros like Hili Group at their disposal the public has a right to accurate information that gives the whole picture of the plans and their disastrous impact on Comino’s environment and on the public’s enjoyment of this nature reserve “Therefore during this meeting we will explain through information and graphics the different aspects linked to the project of Hili Group” the NGOs explained The exhibition is being organised by Moviment Graffitti Din lArt Ħelwa BirdLife Malta Ramblers Association Malta Flimkien għal Ambjent Aħjar and Nature Trust Malta In March the NGOs had convened outside Hili Group’s headquarters in Marsa urging it to drop its plans for a “Comino village” immediately warning that the company would “face the people’s ire” if it ignored this call The plans by group subsidiary HV Hospitality would see it redevelop the disused hotel and to replace the existing complex of 9 bungalows with a considerably larger complex of 19 with several amenities The NGOs have warned that legal loopholes could see the bungalow complex become a “Comino village of permanent residences” The plans of Hili Group are currently awaiting the approval of the Planning Authority Thousands of people submitted objections against these plans and environmental organisations have warned that the fight against this environmental obscenity will escalate if Hili Group will not have them withdrawn
Godwin Xerri appointed new chairman of Malta Maritime Forum,"April 20, 2023 2:03 PM",Godwin Xerri has been appointed as the third chairman of the Malta Maritime Forum succeeding Judge Emeritus Zammit McKeon who was appointed as the Parliamentary Ombudsman last month Godwin Xerri is the CEO of the Focal Logistics Group of companies which comprises Focal Maritime Services Co Ltd Delta Container Services Ltd and GreenwaveShippingmt He is also the founding member and CEO of Combined Maritime Services Limited which is Malta’s leading multidisciplinary specialist in maritime consultancy Xerri also succeeds Dr Joe Borg who shortly after ending his term as Malta’s first ever European Commissioner together with Godwin himself Dr Ann Fenech and Joseph Bugeja had been instrumental in the establishment of the Forum in October 2015 The Malta Maritime Forum is an NGO that serves as a common platform for those Maltabased entities who are involved in the maritime logistical and transport sector in Malta In taking over the helm of the Forum Xerri thanked his fellow members for their confidence and pledged to carry on in the vision of his predecessors to make the Forum the respected and vibrant voice on all matters related to the Maritime Industry and the Blue Economy He said that his immediate objective was to steer the Forum further into the realm of ESG as well as to drive closure to ongoing policy matters of high importance to the Industry such as the demerger of Transport Malta the enactment of the draft proposed Ship Agency Regulations and the setting up of a special Maritime Court Xerri went on to thank both his predecessors for their untiring efforts He said that the MMF considers itself truly privileged to have been led by Judge Zammit McKeon and Dr Joe Borg Whilst acknowledging that he had big boots to fill he expressed himself confident that with the dynamism and expertise of his colleagues on the Board the MMF will continue to grow in stature and respect with the authorities and the industry under his stewardship The same board of directors appointed Mr Alex Montebello as Vice Chairman Mr Montebello who holds the position of CEO at Malta Freeport Terminals is an industry leader within his sector and enjoys a professional reputation both locally and overseas
Two new deacons to be ordained on Saturday,"April 20, 2023 1:21 PM",Tista' taqra bil Malti Two new deacons shall be ordained by Archbishop Charles Jude Scicluna on Saturday The two deacons are the seminarians Malcolm John Saliba from the Parish of the Assumption of our Lady in Attard and Karl Andrew Schembri from the Parish of the Nativity of our Lady in Mellieħa The Mass shall be celebrated at St John’s CoCathedral in Valletta and shall be broadcast live on Churchmt and Newsbookcommt Through this ordination to the Diaconate the new deacons are configured to Jesus Christ who sought to be a ‘deacon’ that is a servant to all The deacon dedicates his life to serving others with love assisting the bishop and the priests during the celebration of the sacred mysteries especially the Eucharist administering the sacrament of Baptism assisting in the celebration of marriage and blessing the marital bond proclaiming and preaching the Gospel and leading prayers at funerals
Woman charged with falsely reporting taxi driver granted bail,"May 15, 2023 3:22 PM",A woman who has been charged with falsely claiming that she had been raped by a Bolt taxi driver has been granted bail The accused 45 was charged earlier this month after she alleged that she had been raped after she took a taxi home The woman had claimed that the driver took a detour and raped her near a caravan site The accused is pleading not guilty to the charges of reporting the man for a crime he knew he did not commit taking a false oath and fabricating evidence The driver had denied raping her and said that sex had been consensual The vehicle trip record showed that the driver had taken a different route from what the woman had alleged After the alleged victim took the witness stand the woman was granted bail against a deposit of €3000 and a personal guarantee of €10000 The court imposed a curfew on the accused
Motorcyclists blame poorly designed crash barriers for latest road fatality,"May 15, 2023 1:53 PM",Tista' taqra bil Malti Many have taken to Facebook to express their anger after Rupert Tabone tragically died on Sunday afternoon blaming the poorly designed crash barriers for the latest fatality Tabone 54 died on Sunday afternoon after he lost control of his motorcycle on Triq Dun Karm in Birkirkara The man was pronounced dead on site Footage from the incident site show that the victim was caught between the crash barriers dividing the two carriageways with eyewitnesses explaining that he was stuck beneath them Several motorcyclists have once again highlighted that such crash barriers are a death trap and responsible for many deaths In the past motorcyclists warned that the crash barrier ends can be “like crashing into the sharp edge of a knife” A 2015 study by the Swedish Motorcyclists Association had found that guardrails with unprotected posts and protruding parts lead to the most serious injuries Smooth barriers without unprotected posts provide less risk of injury According to the Federation of European Motorcyclists Association space underneath the crash barrier beam can also be dangerous Riders sliding on the ground can go underneath the guardrail or hit a post and both can lead to severe injury Crash barriers are specifically designed to minimise car and heavy vehicle damage but are dangerous for motorcycle riders ĦażŻebbuġ councillor Steve Zammit Lupi who is a motorcyclist himself likened the crash barriers to a grater and said they cause serious injuries to the victim
Appeals court convicts men who illegally detained journalists at Castille in 2019,"May 16, 2023 10:09 AM",Tista' taqra bil Malti A Court of Appeal overturned the acquittal of three men who had illegally detained a group of journalists – including two from Newsbookcommt – after a latenight cabinet meeting at the Auberge de Castille in November 2019 while widespread national antigovernment protests were ongoing The group of journalists which included Newsbook’s Monique Agius and Miguela Xuereb had been covering an extraordinary press conference that was called after the lengthy cabinet meeting in which Yorgen Fenech’s request for a presidential pardon had been discussed and rejected After that press conference at around 3am on 29 November three men who refused to identify themselves but who appeared to act as plainclothes security guards kept the journalists from leaving the building The trio were subsequently identified as Jody Pisani Mark Gauci and Emanuel McKay and charged with illegally detaining four journalists – Agius Xuereb Paul Caruana Galizia and Julian Bonnici While more journalists were present – as footage of the incident showed – their version of events was never sought The case did not appear to have been treated with any urgency by the police a police report was filed on 2 December 2019 by Agius and Xuereb with the former presenting footage she filmed on her phone as evidence and charges were issued on 14 July Despite this delay Magistrate Joe Mifsud had found the police investigation to be lacking and in his acquittal of the three men he argued that his hands were tied by the charge – and evidence – presented by the prosecution In his view the evidence was not sufficient to prove the charge to the level required by the court But the Office of the Attorney General ended up filing an appeal in which it insisted that Magistrate Mifsud drew his conclusion on the basis of an erroneous application of the law Lawyer Etienne Savona had highlighted that the defendants were clearly impeding access to the door journalists had used to enter Castille and that such behaviour gave the journalists the impression that a physical confrontation would emerge if they persisted in their attempts to leave the building Ultimately Judge Aaron Bugeja upheld the AG’s appeal overturning the acquittal and finding the three men guilty of carrying out an illegal arrest The judge opted to conditionally discharge the trio for 6 months giving them the standard warning that committing another offence in this period would also see them punished for the illegal arrest they carried out at the Office of the Prime Minister
Grech: ‘The thieves are turning against each other’,"May 18, 2023 8:54 AM",Tista' taqra bil Malti PN leader Bernard Grech called his supporters on Wednesday as he said that the latest revelations on the fraudulent hospitals deal piloted by former prime minister Joseph Muscat showed that the corrupt are turning against each other Those who thought they were above the law Grech said in reference to Muscat and his former righthand men Keith Schembri and Konrad Mizzi “are hiding and blaming each other” Addressing a protest outside parliament on Wednesday evening Grech said “they are now turning against each other as thieves do” He added that the people “have a mission to give birth to a new Malta a clean Malta where our children can have the future they deserve” Grech recalled that slain journalist Daphne Caruana Galizia had exposed the deceit and corruption in the hospitals deal and said that “we can never stop honouring her” “She gave her life so we can know the truth we know today” Grech told protestors “We must never forget her” He also pointed out that a number of Maltese and foreign journalists are striving to uncover the truth about the “corrupt Labour government” “Journalists civil society Adrian Delia Simon Busuttil – these people have all contributed to ensure Daphne did not die in vain” he said The PN leader also saluted activists and civil society organisations that have for years strived to for justice and kept up the fight against corruption as he singled out Repubblika and Occupy Justice for their invaluable work Grech added that everyone who worked for the truth is either getting killed threatened or ridiculed The protest came after a a damning NAO report found that Mizzi and Muscat conspired to mislead the Cabinet of minister over various aspects of the concession deal which was annulled by court in February 2023 This was followed by revelations that Muscat received payments from a Swiss firm that was previously named VGH Europe and which is suspected of funnelling public funds back to the investors behind the Vitals Global Health Care Group VGH “This shows that we are living in a mafia state where people are killed people are threatened and where people’s money is stolen to be given to criminals” the PN leader said “We are living in surreal times It is now the moment of truth the moment when we tell them that enough is enough” Grech told the crowd People have had enough of  the “corrupt government” Grech said as he urged people of all political hues to remain united to create a better future for the country “and ensure impunity does not reign” While insisting that the PN will not shy away from fighting corruption Grech said “we are not done we still have work to do and we must do this together We cannot continue to let them do as they please”
Archbishop Charles Scicluna denies ever being an Opus Dei member,"May 17, 2023 8:00 PM",The Church in Malta has denied allegations made by a blogger that Archbishop Charles Scicluna is a member of Opus Dei “In a recent blog post Simon Mercieca a professor of history at the University of Malta alleged that Archbishop Charles Scicluna is a member of Opus Dei” the Curia said in a statement on Wednesday “This is totally untrue Contrary to the misleading statement made by Prof Mercieca the Archbishop is not and never has been a member of Opus Dei” the statement added
"‘No one believes you’ on hospitals fiasco, Grech tells Labour MPs","May 17, 2023 7:43 PM",Nationalist Party leader Bernard Grech insisted on Wednesday that no one believed what the Labour Party in government was saying on the hospitals concession granted to Vitals passed on to Steward and cancelled by the courts not least since the latest revelations saw the key protagonists openly contradict each other Grech and other PN MPs starting with Adrian Delia completely disregarded the agenda of Wednesday’s parliamentary sitting instead focusing solely on hospitals concession following revelations made by the Times and the Shift in collaboration with the Organised Crime and Corruption Reporting Project including that former PM Joseph Muscat received money from a firm that was previously called VGH Europe – an apparent reference to Vitals Global Healthcare A few minutes into Delia’s speech – the televised broadcast does not make clear whether he did so of his own accord or in response to informal complaints from the government benches – deputy speaker and PN MP David Agius reminded Delia that the standing orders governing Parliament had not changed and that these required MPs to ensure that their speeches were on topic Delia was undeterred and continued speaking out of order prompting complaints from MP Edward Zammit Lewis which drew a pointed reply from Agius who recalled that PM Robert Abela similarly ignored parliamentary procedure to react to a damning National Audit Office report on the hospitals deal before the public could properly read it “I acted as the Speaker had done two days ago with respect to the prime minister and everyone who spoke after him whose address was not relevant to the agenda of the day” he said before telling Delia that he may continue his address Grech said that the Maltese “are living in surreal times” having to deal shocking revelations while the key government figures were nowhere to be seen He repeatedly highlighted that only a few government MPs were present in the chamber He said that he was not addressing parliament to explain how the hospitals deal was the “greatest fraud that has ever happened in this country” that Abela has lied and that his government was preventing the country’s institutions from doing their duty All of these he said were “a known fact” Instead he said looking straight at the cameras he wished to tell address those “who long for hope in politics and who have a right to hope” including the Labourites “who believed you” he added turning his face to the government benches “Those who had a dream and hoped that this country would move forward only to see you deliver a nightmare instead” he continued The PN leader also said that the latest revelations continue to show why Abela was the chosen successor of Muscat maintaining that Muscat needed someone to ensure the “continuity” that Abela had promised when he became prime minister “It is no wonder that Muscat needed Robert Abela to be his puppet so that he could continue doing as he pleases” he said But in this context Grech emphasised Abela was no victim not least because he was well aware of what he was getting into Grech recalled – as Delia had done earlier in the day – that in the Labour leadership election that saw him prevail over Chris Fearne Abela had maintained that his role as Muscat’s consultant saw him keep an eye on the goingson of every minister Grech also called out Fearne insisting that the health minister could not escape the responsibilities he had concerning the deal He said that Fearne “knows he was a participant and an enabler he knew what was going on and failed to lift a finger to stop the theft that was taking place” Both Fearne and Abela were well aware that Steward were not doing what they were obliged to he later added but they still continued giving it generous amounts of public funds The discussion – which was ostensibly on a bill which would see offences introduced through the latest cannabis reform handled by commissioners for justice rather than the courts – was wound down by justice minister Jonathan Attard who ended up devoting much of his speech to respond to the PN MPs who spoke out – particularly Grech and Delia In doing so Attard repeatedly indulged in an argument his party is fond of making the claim that the PN is split in two camps one backing Grech and the other Delia “The only surreal thing in here… is the opposition leader whose days are numbered” Attard insisted References to Delia prompted the MP to protest loudly prompting Attard to make a pointed remark at the former opposition leader “I know that Delia believes that this is his moment of glory that he can be reintegrated in the party after his own friends kicked him out but he is mistaken” the minister maintained The remark predictably did not help calm things down leading Agius to briefly suspend the sitting Attard also insisted that the opposition was holding the country hostage before concluding his speech by referring to the bill that parliament should have discussed
